Total years 125, min: 1888, max: 2019
---
year	total	r0	r1	r2	r3
1965	25	5	4	3	13	52.000000%
1966	38	10	15	2	11	28.947368%
1967	35	6	10	2	17	48.571429%
1968	35	11	6	5	13	37.142857%
1969	27	4	13	2	8	29.629630%
1970	31	4	10	2	15	48.387097%
1971	45	4	18	3	20	44.444444%
1972	36	4	7	6	19	52.777778%
1973	38	4	10	6	18	47.368421%
1974	35	3	9	7	16	45.714286%
1975	31	3	5	3	20	64.516129%
1976	31	2	15	2	12	38.709677%
1977	36	5	12	3	16	44.444444%
1978	32	6	7	5	14	43.750000%
1979	36	5	12	3	16	44.444444%
1980	39	7	8	4	20	51.282051%
1981	49	5	13	6	25	51.020408%
1982	54	8	10	8	28	51.851852%
1983	42	3	17	4	18	42.857143%
1984	61	7	17	5	32	52.459016%
1985	75	13	13	10	39	52.000000%
1986	62	11	13	8	30	48.387097%
1987	67	5	14	4	44	65.671642%
1988	68	5	16	7	40	58.823529%
1989	66	5	14	9	38	57.575758%
1990	71	8	15	8	40	56.338028%
1991	76	8	17	8	43	56.578947%
1992	75	11	18	9	37	49.333333%
1993	95	12	22	7	54	56.842105%
1994	100	10	28	7	55	55.000000%
1995	107	5	21	14	67	62.616822%
1996	118	9	26	10	73	61.864407%
1997	108	5	27	14	62	57.407407%
1998	133	5	43	11	74	55.639098%
1999	126	5	32	10	79	62.698413%
2000	144	12	26	17	89	61.805556%
2001	166	15	32	13	106	63.855422%
2002	171	16	49	15	91	53.216374%
2003	151	17	30	10	94	62.251656%
2004	193	10	43	20	120	62.176166%
2005	206	16	42	19	129	62.621359%
2006	248	21	55	16	156	62.903226%
2007	251	19	54	22	156	62.151394%
2008	259	18	67	20	154	59.459459%
2009	338	28	84	35	191	56.508876%
2010	343	39	78	21	205	59.766764%
2011	359	22	85	24	228	63.509749%
2012	345	22	70	32	221	64.057971%
2013	403	33	68	36	266	66.004963%
2014	379	24	80	49	226	59.630607%
2015	316	26	63	28	199	62.974684%
2016	296	20	54	32	190	64.189189%
2017	228	12	42	16	158	69.298246%
2018	142	5	27	15	95	66.901408%
2019	12	0	3	3	6	50.000000%
Total countries 95, min: Albania, max: Venezuela
---
country	total	r0	r1	r2	r3
Albania	1	0	0	0	1	100.000000%
Algeria	3	0	3	0	0	0.000000%
Angola	1	0	0	0	1	100.000000%
Argentina	26	4	6	0	16	61.538462%
Australia	132	9	31	10	82	62.121212%
Austria	31	4	3	3	21	67.741935%
Bahamas	2	0	1	1	0	0.000000%
Belgium	88	9	25	7	47	53.409091%
Bolivia	1	0	1	0	0	0.000000%
Bosnia and Herzegovina	4	0	1	0	3	75.000000%
Brazil	33	4	5	4	20	60.606061%
Bulgaria	3	0	2	0	1	33.333333%
Cambodia	1	0	1	0	0	0.000000%
Cameroon	2	0	0	0	2	100.000000%
Canada	331	20	72	25	214	64.652568%
Chile	10	2	2	0	6	60.000000%
China	64	9	13	5	37	57.812500%
Colombia	4	0	2	0	2	50.000000%
Congo	1	0	0	0	1	100.000000%
Costa Rica	1	0	0	0	1	100.000000%
Croatia	5	0	2	0	3	60.000000%
Cuba	2	0	1	0	1	50.000000%
Cyprus	1	0	0	0	1	100.000000%
Czech Republic	33	4	15	1	13	39.393939%
Denmark	61	7	18	2	34	55.737705%
Ecuador	2	0	0	0	2	100.000000%
Egypt	2	0	0	0	2	100.000000%
Estonia	2	1	0	0	1	50.000000%
Finland	20	6	4	1	9	45.000000%
France	746	107	159	53	427	57.238606%
French Polynesia	1	0	0	0	1	100.000000%
Georgia	2	2	0	0	0	0.000000%
Germany	451	46	117	38	250	55.432373%
Greece	9	0	1	2	6	66.666667%
Hong Kong	67	10	20	7	30	44.776119%
Hungary	30	5	11	3	11	36.666667%
Iceland	10	2	2	1	5	50.000000%
India	64	3	9	7	45	70.312500%
Indonesia	3	2	0	0	1	33.333333%
Iran	19	3	3	0	13	68.421053%
Ireland	65	5	14	7	39	60.000000%
Israel	23	4	4	4	11	47.826087%
Italy	238	30	61	27	120	50.420168%
Japan	278	48	49	19	162	58.273381%
Jordan	2	0	0	0	2	100.000000%
Kazakhstan	1	0	0	0	1	100.000000%
Lebanon	4	1	0	1	2	50.000000%
Liechtenstein	2	0	2	0	0	0.000000%
Lithuania	3	0	1	0	2	66.666667%
Luxembourg	15	1	2	3	9	60.000000%
Malaysia	2	0	0	0	2	100.000000%
Malta	6	0	3	2	1	16.666667%
Mexico	44	8	11	2	23	52.272727%
Mongolia	2	0	1	0	1	50.000000%
Montenegro	1	0	1	0	0	0.000000%
Morocco	3	1	1	1	0	0.000000%
Netherlands	53	4	13	2	34	64.150943%
Netherlands Antilles	1	0	0	0	1	100.000000%
New Zealand	39	10	12	1	16	41.025641%
Norway	29	4	15	1	9	31.034483%
Pakistan	2	0	1	0	1	50.000000%
Palestinian Territory	1	0	1	0	0	0.000000%
Panama	1	0	0	0	1	100.000000%
Peru	5	0	1	1	3	60.000000%
Philippines	1	0	1	0	0	0.000000%
Poland	29	4	7	2	16	55.172414%
Portugal	8	0	3	1	4	50.000000%
Puerto Rico	3	0	1	0	2	66.666667%
Qatar	4	1	0	0	3	75.000000%
Romania	18	3	6	3	6	33.333333%
Russia	44	8	14	3	19	43.181818%
Saudi Arabia	1	0	0	0	1	100.000000%
Senegal	2	0	0	0	2	100.000000%
Serbia	10	0	5	0	5	50.000000%
Serbia and Montenegro	1	0	0	1	0	0.000000%
Singapore	3	0	0	0	3	100.000000%
Slovakia	2	0	1	0	1	50.000000%
Slovenia	3	1	1	0	1	33.333333%
South Africa	22	0	9	0	13	59.090909%
South Korea	43	1	10	3	29	67.441860%
Soviet Union	2	1	1	0	0	0.000000%
Spain	168	18	44	16	90	53.571429%
Sweden	88	10	20	8	50	56.818182%
Switzerland	35	9	7	3	16	45.714286%
Taiwan	13	3	4	0	6	46.153846%
Thailand	7	2	1	0	4	57.142857%
Tunisia	2	2	0	0	0	0.000000%
Turkey	10	1	2	2	5	50.000000%
Uganda	1	0	0	0	1	100.000000%
Ukraine	3	0	1	0	2	66.666667%
United Arab Emirates	10	2	1	0	7	70.000000%
United Kingdom	1008	100	253	92	563	55.853175%
United States of America	4823	426	1151	533	2713	56.251296%
Uruguay	1	0	0	0	1	100.000000%
Venezuela	1	0	0	0	1	100.000000%
