year	country	total	r0	r1	r2	r3	share
1892	Croatia	0	0	0	0	0	0.000000%
1892	Cuba	0	0	0	0	0	0.000000%
1892	Cyprus	0	0	0	0	0	0.000000%
1892	Czech Republic	0	0	0	0	0	0.000000%
1892	Denmark	0	0	0	0	0	0.000000%
1892	Ecuador	0	0	0	0	0	0.000000%
1892	Egypt	0	0	0	0	0	0.000000%
1892	Estonia	0	0	0	0	0	0.000000%
1892	Finland	0	0	0	0	0	0.000000%
1892	France	1	1	0	0	0	0.000000%
1892	French Polynesia	0	0	0	0	0	0.000000%
1892	Georgia	0	0	0	0	0	0.000000%
1892	Germany	0	0	0	0	0	0.000000%
1892	Greece	0	0	0	0	0	0.000000%
1892	Hong Kong	0	0	0	0	0	0.000000%
1892	Hungary	0	0	0	0	0	0.000000%
1892	Iceland	0	0	0	0	0	0.000000%
1892	India	0	0	0	0	0	0.000000%
1892	Indonesia	0	0	0	0	0	0.000000%
1892	Iran	0	0	0	0	0	0.000000%
1892	Ireland	0	0	0	0	0	0.000000%
1892	Israel	0	0	0	0	0	0.000000%
1892	Italy	0	0	0	0	0	0.000000%
1892	Japan	0	0	0	0	0	0.000000%
1892	Jordan	0	0	0	0	0	0.000000%
1892	Kazakhstan	0	0	0	0	0	0.000000%
1892	Lebanon	0	0	0	0	0	0.000000%
1892	Liechtenstein	0	0	0	0	0	0.000000%
1892	Lithuania	0	0	0	0	0	0.000000%
1892	Luxembourg	0	0	0	0	0	0.000000%
1892	Malaysia	0	0	0	0	0	0.000000%
1892	Malta	0	0	0	0	0	0.000000%
1892	Mexico	0	0	0	0	0	0.000000%
1892	Mongolia	0	0	0	0	0	0.000000%
1892	Montenegro	0	0	0	0	0	0.000000%
1892	Morocco	0	0	0	0	0	0.000000%
1892	Netherlands	0	0	0	0	0	0.000000%
1892	Netherlands Antilles	0	0	0	0	0	0.000000%
1892	New Zealand	0	0	0	0	0	0.000000%
1892	Norway	0	0	0	0	0	0.000000%
1892	Pakistan	0	0	0	0	0	0.000000%
1892	Palestinian Territory	0	0	0	0	0	0.000000%
1892	Panama	0	0	0	0	0	0.000000%
1892	Peru	0	0	0	0	0	0.000000%
1892	Philippines	0	0	0	0	0	0.000000%
1892	Poland	0	0	0	0	0	0.000000%
1892	Portugal	0	0	0	0	0	0.000000%
1892	Puerto Rico	0	0	0	0	0	0.000000%
1892	Qatar	0	0	0	0	0	0.000000%
1892	Romania	0	0	0	0	0	0.000000%
1892	Russia	0	0	0	0	0	0.000000%
1892	Saudi Arabia	0	0	0	0	0	0.000000%
1892	Senegal	0	0	0	0	0	0.000000%
1892	Serbia	0	0	0	0	0	0.000000%
1892	Serbia and Montenegro	0	0	0	0	0	0.000000%
1892	Singapore	0	0	0	0	0	0.000000%
1892	Slovakia	0	0	0	0	0	0.000000%
1892	Slovenia	0	0	0	0	0	0.000000%
1892	South Africa	0	0	0	0	0	0.000000%
1892	South Korea	0	0	0	0	0	0.000000%
1892	Soviet Union	0	0	0	0	0	0.000000%
1892	Spain	0	0	0	0	0	0.000000%
1892	Sweden	0	0	0	0	0	0.000000%
1892	Switzerland	0	0	0	0	0	0.000000%
1892	Taiwan	0	0	0	0	0	0.000000%
1892	Thailand	0	0	0	0	0	0.000000%
1892	Tunisia	0	0	0	0	0	0.000000%
1892	Turkey	0	0	0	0	0	0.000000%
1892	Uganda	0	0	0	0	0	0.000000%
1892	Ukraine	0	0	0	0	0	0.000000%
1892	United Arab Emirates	0	0	0	0	0	0.000000%
1892	United Kingdom	0	0	0	0	0	0.000000%
1892	United States of America	0	0	0	0	0	0.000000%
1892	Uruguay	0	0	0	0	0	0.000000%
1892	Venezuela	0	0	0	0	0	0.000000%
1895	Albania	0	0	0	0	0	0.000000%
1895	Algeria	0	0	0	0	0	0.000000%
1895	Angola	0	0	0	0	0	0.000000%
1895	Argentina	0	0	0	0	0	0.000000%
1895	Australia	0	0	0	0	0	0.000000%
1895	Austria	0	0	0	0	0	0.000000%
1895	Bahamas	0	0	0	0	0	0.000000%
1895	Belgium	0	0	0	0	0	0.000000%
1895	Bolivia	0	0	0	0	0	0.000000%
1895	Bosnia and Herzegovina	0	0	0	0	0	0.000000%
1895	Brazil	0	0	0	0	0	0.000000%
1895	Bulgaria	0	0	0	0	0	0.000000%
1895	Cambodia	0	0	0	0	0	0.000000%
1895	Cameroon	0	0	0	0	0	0.000000%
1895	Canada	0	0	0	0	0	0.000000%
1895	Chile	0	0	0	0	0	0.000000%
1895	China	0	0	0	0	0	0.000000%
1895	Colombia	0	0	0	0	0	0.000000%
1895	Congo	0	0	0	0	0	0.000000%
1895	Costa Rica	0	0	0	0	0	0.000000%
1895	Croatia	0	0	0	0	0	0.000000%
1895	Cuba	0	0	0	0	0	0.000000%
1895	Cyprus	0	0	0	0	0	0.000000%
1895	Czech Republic	0	0	0	0	0	0.000000%
1895	Denmark	0	0	0	0	0	0.000000%
1895	Ecuador	0	0	0	0	0	0.000000%
1895	Egypt	0	0	0	0	0	0.000000%
1895	Estonia	0	0	0	0	0	0.000000%
1895	Finland	0	0	0	0	0	0.000000%
1895	France	1	1	0	0	0	0.000000%
1895	French Polynesia	0	0	0	0	0	0.000000%
1895	Georgia	0	0	0	0	0	0.000000%
1895	Germany	0	0	0	0	0	0.000000%
1895	Greece	0	0	0	0	0	0.000000%
1895	Hong Kong	0	0	0	0	0	0.000000%
1895	Hungary	0	0	0	0	0	0.000000%
1895	Iceland	0	0	0	0	0	0.000000%
1895	India	0	0	0	0	0	0.000000%
1895	Indonesia	0	0	0	0	0	0.000000%
1895	Iran	0	0	0	0	0	0.000000%
1895	Ireland	0	0	0	0	0	0.000000%
1895	Israel	0	0	0	0	0	0.000000%
1895	Italy	0	0	0	0	0	0.000000%
1895	Japan	0	0	0	0	0	0.000000%
1895	Jordan	0	0	0	0	0	0.000000%
1895	Kazakhstan	0	0	0	0	0	0.000000%
1895	Lebanon	0	0	0	0	0	0.000000%
1895	Liechtenstein	0	0	0	0	0	0.000000%
1895	Lithuania	0	0	0	0	0	0.000000%
1895	Luxembourg	0	0	0	0	0	0.000000%
1895	Malaysia	0	0	0	0	0	0.000000%
1895	Malta	0	0	0	0	0	0.000000%
1895	Mexico	0	0	0	0	0	0.000000%
1895	Mongolia	0	0	0	0	0	0.000000%
1895	Montenegro	0	0	0	0	0	0.000000%
1895	Morocco	0	0	0	0	0	0.000000%
1895	Netherlands	0	0	0	0	0	0.000000%
1895	Netherlands Antilles	0	0	0	0	0	0.000000%
1895	New Zealand	0	0	0	0	0	0.000000%
1895	Norway	0	0	0	0	0	0.000000%
1895	Pakistan	0	0	0	0	0	0.000000%
1895	Palestinian Territory	0	0	0	0	0	0.000000%
1895	Panama	0	0	0	0	0	0.000000%
1895	Peru	0	0	0	0	0	0.000000%
1895	Philippines	0	0	0	0	0	0.000000%
1895	Poland	0	0	0	0	0	0.000000%
1895	Portugal	0	0	0	0	0	0.000000%
1895	Puerto Rico	0	0	0	0	0	0.000000%
1895	Qatar	0	0	0	0	0	0.000000%
1895	Romania	0	0	0	0	0	0.000000%
1895	Russia	0	0	0	0	0	0.000000%
1895	Saudi Arabia	0	0	0	0	0	0.000000%
1895	Senegal	0	0	0	0	0	0.000000%
1895	Serbia	0	0	0	0	0	0.000000%
1895	Serbia and Montenegro	0	0	0	0	0	0.000000%
1895	Singapore	0	0	0	0	0	0.000000%
1895	Slovakia	0	0	0	0	0	0.000000%
1895	Slovenia	0	0	0	0	0	0.000000%
1895	South Africa	0	0	0	0	0	0.000000%
1895	South Korea	0	0	0	0	0	0.000000%
1895	Soviet Union	0	0	0	0	0	0.000000%
1895	Spain	0	0	0	0	0	0.000000%
1895	Sweden	0	0	0	0	0	0.000000%
1895	Switzerland	0	0	0	0	0	0.000000%
1895	Taiwan	0	0	0	0	0	0.000000%
1895	Thailand	0	0	0	0	0	0.000000%
1895	Tunisia	0	0	0	0	0	0.000000%
1895	Turkey	0	0	0	0	0	0.000000%
1895	Uganda	0	0	0	0	0	0.000000%
1895	Ukraine	0	0	0	0	0	0.000000%
1895	United Arab Emirates	0	0	0	0	0	0.000000%
1895	United Kingdom	0	0	0	0	0	0.000000%
1895	United States of America	1	1	0	0	0	0.000000%
1895	Uruguay	0	0	0	0	0	0.000000%
1895	Venezuela	0	0	0	0	0	0.000000%
1896	Albania	0	0	0	0	0	0.000000%
1896	Algeria	0	0	0	0	0	0.000000%
1896	Angola	0	0	0	0	0	0.000000%
1896	Argentina	0	0	0	0	0	0.000000%
1896	Australia	0	0	0	0	0	0.000000%
1896	Austria	0	0	0	0	0	0.000000%
1896	Bahamas	0	0	0	0	0	0.000000%
1896	Belgium	0	0	0	0	0	0.000000%
1896	Bolivia	0	0	0	0	0	0.000000%
1896	Bosnia and Herzegovina	0	0	0	0	0	0.000000%
1896	Brazil	0	0	0	0	0	0.000000%
1896	Bulgaria	0	0	0	0	0	0.000000%
1896	Cambodia	0	0	0	0	0	0.000000%
1896	Cameroon	0	0	0	0	0	0.000000%
1896	Canada	0	0	0	0	0	0.000000%
1896	Chile	0	0	0	0	0	0.000000%
1896	China	0	0	0	0	0	0.000000%
1896	Colombia	0	0	0	0	0	0.000000%
1896	Congo	0	0	0	0	0	0.000000%
1896	Costa Rica	0	0	0	0	0	0.000000%
1896	Croatia	0	0	0	0	0	0.000000%
1896	Cuba	0	0	0	0	0	0.000000%
1896	Cyprus	0	0	0	0	0	0.000000%
1896	Czech Republic	0	0	0	0	0	0.000000%
1896	Denmark	0	0	0	0	0	0.000000%
1896	Ecuador	0	0	0	0	0	0.000000%
1896	Egypt	0	0	0	0	0	0.000000%
1896	Estonia	0	0	0	0	0	0.000000%
1896	Finland	0	0	0	0	0	0.000000%
1896	France	3	3	0	0	0	0.000000%
1896	French Polynesia	0	0	0	0	0	0.000000%
1896	Georgia	0	0	0	0	0	0.000000%
1896	Germany	0	0	0	0	0	0.000000%
1896	Greece	0	0	0	0	0	0.000000%
1896	Hong Kong	0	0	0	0	0	0.000000%
1896	Hungary	0	0	0	0	0	0.000000%
1896	Iceland	0	0	0	0	0	0.000000%
1896	India	0	0	0	0	0	0.000000%
1896	Indonesia	0	0	0	0	0	0.000000%
1896	Iran	0	0	0	0	0	0.000000%
1896	Ireland	0	0	0	0	0	0.000000%
1896	Israel	0	0	0	0	0	0.000000%
1896	Italy	0	0	0	0	0	0.000000%
1896	Japan	0	0	0	0	0	0.000000%
1896	Jordan	0	0	0	0	0	0.000000%
1896	Kazakhstan	0	0	0	0	0	0.000000%
1896	Lebanon	0	0	0	0	0	0.000000%
1896	Liechtenstein	0	0	0	0	0	0.000000%
1896	Lithuania	0	0	0	0	0	0.000000%
1896	Luxembourg	0	0	0	0	0	0.000000%
1896	Malaysia	0	0	0	0	0	0.000000%
1896	Malta	0	0	0	0	0	0.000000%
1896	Mexico	0	0	0	0	0	0.000000%
1896	Mongolia	0	0	0	0	0	0.000000%
1896	Montenegro	0	0	0	0	0	0.000000%
1896	Morocco	0	0	0	0	0	0.000000%
1896	Netherlands	0	0	0	0	0	0.000000%
1896	Netherlands Antilles	0	0	0	0	0	0.000000%
1896	New Zealand	0	0	0	0	0	0.000000%
1896	Norway	0	0	0	0	0	0.000000%
1896	Pakistan	0	0	0	0	0	0.000000%
1896	Palestinian Territory	0	0	0	0	0	0.000000%
1896	Panama	0	0	0	0	0	0.000000%
1896	Peru	0	0	0	0	0	0.000000%
1896	Philippines	0	0	0	0	0	0.000000%
1896	Poland	0	0	0	0	0	0.000000%
1896	Portugal	0	0	0	0	0	0.000000%
1896	Puerto Rico	0	0	0	0	0	0.000000%
1896	Qatar	0	0	0	0	0	0.000000%
1896	Romania	0	0	0	0	0	0.000000%
1896	Russia	0	0	0	0	0	0.000000%
1896	Saudi Arabia	0	0	0	0	0	0.000000%
1896	Senegal	0	0	0	0	0	0.000000%
1896	Serbia	0	0	0	0	0	0.000000%
1896	Serbia and Montenegro	0	0	0	0	0	0.000000%
1896	Singapore	0	0	0	0	0	0.000000%
1896	Slovakia	0	0	0	0	0	0.000000%
1896	Slovenia	0	0	0	0	0	0.000000%
1896	South Africa	0	0	0	0	0	0.000000%
1896	South Korea	0	0	0	0	0	0.000000%
1896	Soviet Union	0	0	0	0	0	0.000000%
1896	Spain	0	0	0	0	0	0.000000%
1896	Sweden	0	0	0	0	0	0.000000%
1896	Switzerland	0	0	0	0	0	0.000000%
1896	Taiwan	0	0	0	0	0	0.000000%
1896	Thailand	0	0	0	0	0	0.000000%
1896	Tunisia	0	0	0	0	0	0.000000%
1896	Turkey	0	0	0	0	0	0.000000%
1896	Uganda	0	0	0	0	0	0.000000%
1896	Ukraine	0	0	0	0	0	0.000000%
1896	United Arab Emirates	0	0	0	0	0	0.000000%
1896	United Kingdom	0	0	0	0	0	0.000000%
1896	United States of America	0	0	0	0	0	0.000000%
1896	Uruguay	0	0	0	0	0	0.000000%
1896	Venezuela	0	0	0	0	0	0.000000%
1898	Albania	0	0	0	0	0	0.000000%
1898	Algeria	0	0	0	0	0	0.000000%
1898	Angola	0	0	0	0	0	0.000000%
1898	Argentina	0	0	0	0	0	0.000000%
1898	Australia	0	0	0	0	0	0.000000%
1898	Austria	0	0	0	0	0	0.000000%
1898	Bahamas	0	0	0	0	0	0.000000%
1898	Belgium	0	0	0	0	0	0.000000%
1898	Bolivia	0	0	0	0	0	0.000000%
1898	Bosnia and Herzegovina	0	0	0	0	0	0.000000%
1898	Brazil	0	0	0	0	0	0.000000%
1898	Bulgaria	0	0	0	0	0	0.000000%
1898	Cambodia	0	0	0	0	0	0.000000%
1898	Cameroon	0	0	0	0	0	0.000000%
1898	Canada	0	0	0	0	0	0.000000%
1898	Chile	0	0	0	0	0	0.000000%
1898	China	0	0	0	0	0	0.000000%
1898	Colombia	0	0	0	0	0	0.000000%
1898	Congo	0	0	0	0	0	0.000000%
1898	Costa Rica	0	0	0	0	0	0.000000%
1898	Croatia	0	0	0	0	0	0.000000%
1898	Cuba	0	0	0	0	0	0.000000%
1898	Cyprus	0	0	0	0	0	0.000000%
1898	Czech Republic	0	0	0	0	0	0.000000%
1898	Denmark	0	0	0	0	0	0.000000%
1898	Ecuador	0	0	0	0	0	0.000000%
1898	Egypt	0	0	0	0	0	0.000000%
1898	Estonia	0	0	0	0	0	0.000000%
1898	Finland	0	0	0	0	0	0.000000%
1898	France	3	3	0	0	0	0.000000%
1898	French Polynesia	0	0	0	0	0	0.000000%
1898	Georgia	0	0	0	0	0	0.000000%
1898	Germany	0	0	0	0	0	0.000000%
1898	Greece	0	0	0	0	0	0.000000%
1898	Hong Kong	0	0	0	0	0	0.000000%
1898	Hungary	0	0	0	0	0	0.000000%
1898	Iceland	0	0	0	0	0	0.000000%
1898	India	0	0	0	0	0	0.000000%
1898	Indonesia	0	0	0	0	0	0.000000%
1898	Iran	0	0	0	0	0	0.000000%
1898	Ireland	0	0	0	0	0	0.000000%
1898	Israel	0	0	0	0	0	0.000000%
1898	Italy	0	0	0	0	0	0.000000%
1898	Japan	0	0	0	0	0	0.000000%
1898	Jordan	0	0	0	0	0	0.000000%
1898	Kazakhstan	0	0	0	0	0	0.000000%
1898	Lebanon	0	0	0	0	0	0.000000%
1898	Liechtenstein	0	0	0	0	0	0.000000%
1898	Lithuania	0	0	0	0	0	0.000000%
1898	Luxembourg	0	0	0	0	0	0.000000%
1898	Malaysia	0	0	0	0	0	0.000000%
1898	Malta	0	0	0	0	0	0.000000%
1898	Mexico	0	0	0	0	0	0.000000%
1898	Mongolia	0	0	0	0	0	0.000000%
1898	Montenegro	0	0	0	0	0	0.000000%
1898	Morocco	0	0	0	0	0	0.000000%
1898	Netherlands	0	0	0	0	0	0.000000%
1898	Netherlands Antilles	0	0	0	0	0	0.000000%
1898	New Zealand	0	0	0	0	0	0.000000%
1898	Norway	0	0	0	0	0	0.000000%
1898	Pakistan	0	0	0	0	0	0.000000%
1898	Palestinian Territory	0	0	0	0	0	0.000000%
1898	Panama	0	0	0	0	0	0.000000%
1898	Peru	0	0	0	0	0	0.000000%
1898	Philippines	0	0	0	0	0	0.000000%
1898	Poland	0	0	0	0	0	0.000000%
1898	Portugal	0	0	0	0	0	0.000000%
1898	Puerto Rico	0	0	0	0	0	0.000000%
1898	Qatar	0	0	0	0	0	0.000000%
1898	Romania	0	0	0	0	0	0.000000%
1898	Russia	0	0	0	0	0	0.000000%
1898	Saudi Arabia	0	0	0	0	0	0.000000%
1898	Senegal	0	0	0	0	0	0.000000%
1898	Serbia	0	0	0	0	0	0.000000%
1898	Serbia and Montenegro	0	0	0	0	0	0.000000%
1898	Singapore	0	0	0	0	0	0.000000%
1898	Slovakia	0	0	0	0	0	0.000000%
1898	Slovenia	0	0	0	0	0	0.000000%
1898	South Africa	0	0	0	0	0	0.000000%
1898	South Korea	0	0	0	0	0	0.000000%
1898	Soviet Union	0	0	0	0	0	0.000000%
1898	Spain	0	0	0	0	0	0.000000%
1898	Sweden	0	0	0	0	0	0.000000%
1898	Switzerland	0	0	0	0	0	0.000000%
1898	Taiwan	0	0	0	0	0	0.000000%
1898	Thailand	0	0	0	0	0	0.000000%
1898	Tunisia	0	0	0	0	0	0.000000%
1898	Turkey	0	0	0	0	0	0.000000%
1898	Uganda	0	0	0	0	0	0.000000%
1898	Ukraine	0	0	0	0	0	0.000000%
1898	United Arab Emirates	0	0	0	0	0	0.000000%
1898	United Kingdom	0	0	0	0	0	0.000000%
1898	United States of America	0	0	0	0	0	0.000000%
1898	Uruguay	0	0	0	0	0	0.000000%
1898	Venezuela	0	0	0	0	0	0.000000%
1899	Albania	0	0	0	0	0	0.000000%
1899	Algeria	0	0	0	0	0	0.000000%
1899	Angola	0	0	0	0	0	0.000000%
1899	Argentina	0	0	0	0	0	0.000000%
1899	Australia	0	0	0	0	0	0.000000%
1899	Austria	0	0	0	0	0	0.000000%
1899	Bahamas	0	0	0	0	0	0.000000%
1899	Belgium	0	0	0	0	0	0.000000%
1899	Bolivia	0	0	0	0	0	0.000000%
1899	Bosnia and Herzegovina	0	0	0	0	0	0.000000%
1899	Brazil	0	0	0	0	0	0.000000%
1899	Bulgaria	0	0	0	0	0	0.000000%
1899	Cambodia	0	0	0	0	0	0.000000%
1899	Cameroon	0	0	0	0	0	0.000000%
1899	Canada	0	0	0	0	0	0.000000%
1899	Chile	0	0	0	0	0	0.000000%
1899	China	0	0	0	0	0	0.000000%
1899	Colombia	0	0	0	0	0	0.000000%
1899	Congo	0	0	0	0	0	0.000000%
1899	Costa Rica	0	0	0	0	0	0.000000%
1899	Croatia	0	0	0	0	0	0.000000%
1899	Cuba	0	0	0	0	0	0.000000%
1899	Cyprus	0	0	0	0	0	0.000000%
1899	Czech Republic	0	0	0	0	0	0.000000%
1899	Denmark	0	0	0	0	0	0.000000%
1899	Ecuador	0	0	0	0	0	0.000000%
1899	Egypt	0	0	0	0	0	0.000000%
1899	Estonia	0	0	0	0	0	0.000000%
1899	Finland	0	0	0	0	0	0.000000%
1899	France	2	1	0	0	1	50.000000%
1899	French Polynesia	0	0	0	0	0	0.000000%
1899	Georgia	0	0	0	0	0	0.000000%
1899	Germany	0	0	0	0	0	0.000000%
1899	Greece	0	0	0	0	0	0.000000%
1899	Hong Kong	0	0	0	0	0	0.000000%
1899	Hungary	0	0	0	0	0	0.000000%
1899	Iceland	0	0	0	0	0	0.000000%
1899	India	0	0	0	0	0	0.000000%
1899	Indonesia	0	0	0	0	0	0.000000%
1899	Iran	0	0	0	0	0	0.000000%
1899	Ireland	0	0	0	0	0	0.000000%
1899	Israel	0	0	0	0	0	0.000000%
1899	Italy	0	0	0	0	0	0.000000%
1899	Japan	0	0	0	0	0	0.000000%
1899	Jordan	0	0	0	0	0	0.000000%
1899	Kazakhstan	0	0	0	0	0	0.000000%
1899	Lebanon	0	0	0	0	0	0.000000%
1899	Liechtenstein	0	0	0	0	0	0.000000%
1899	Lithuania	0	0	0	0	0	0.000000%
1899	Luxembourg	0	0	0	0	0	0.000000%
1899	Malaysia	0	0	0	0	0	0.000000%
1899	Malta	0	0	0	0	0	0.000000%
1899	Mexico	0	0	0	0	0	0.000000%
1899	Mongolia	0	0	0	0	0	0.000000%
1899	Montenegro	0	0	0	0	0	0.000000%
1899	Morocco	0	0	0	0	0	0.000000%
1899	Netherlands	0	0	0	0	0	0.000000%
1899	Netherlands Antilles	0	0	0	0	0	0.000000%
1899	New Zealand	0	0	0	0	0	0.000000%
1899	Norway	0	0	0	0	0	0.000000%
1899	Pakistan	0	0	0	0	0	0.000000%
1899	Palestinian Territory	0	0	0	0	0	0.000000%
1899	Panama	0	0	0	0	0	0.000000%
1899	Peru	0	0	0	0	0	0.000000%
1899	Philippines	0	0	0	0	0	0.000000%
1899	Poland	0	0	0	0	0	0.000000%
1899	Portugal	0	0	0	0	0	0.000000%
1899	Puerto Rico	0	0	0	0	0	0.000000%
1899	Qatar	0	0	0	0	0	0.000000%
1899	Romania	0	0	0	0	0	0.000000%
1899	Russia	0	0	0	0	0	0.000000%
1899	Saudi Arabia	0	0	0	0	0	0.000000%
1899	Senegal	0	0	0	0	0	0.000000%
1899	Serbia	0	0	0	0	0	0.000000%
1899	Serbia and Montenegro	0	0	0	0	0	0.000000%
1899	Singapore	0	0	0	0	0	0.000000%
1899	Slovakia	0	0	0	0	0	0.000000%
1899	Slovenia	0	0	0	0	0	0.000000%
1899	South Africa	0	0	0	0	0	0.000000%
1899	South Korea	0	0	0	0	0	0.000000%
1899	Soviet Union	0	0	0	0	0	0.000000%
1899	Spain	0	0	0	0	0	0.000000%
1899	Sweden	0	0	0	0	0	0.000000%
1899	Switzerland	0	0	0	0	0	0.000000%
1899	Taiwan	0	0	0	0	0	0.000000%
1899	Thailand	0	0	0	0	0	0.000000%
1899	Tunisia	0	0	0	0	0	0.000000%
1899	Turkey	0	0	0	0	0	0.000000%
1899	Uganda	0	0	0	0	0	0.000000%
1899	Ukraine	0	0	0	0	0	0.000000%
1899	United Arab Emirates	0	0	0	0	0	0.000000%
1899	United Kingdom	0	0	0	0	0	0.000000%
1899	United States of America	0	0	0	0	0	0.000000%
1899	Uruguay	0	0	0	0	0	0.000000%
